id;term_or_acronym;name;definition;image;image_content_type
1;curvy softly boohoo;useless boohoo;fooey;../fake-data/blob/hipster.png;image/png
2;flinch finally;occur cloudy;crooked;../fake-data/blob/hipster.png;image/png
3;prompt ick camouflage;extra-large capitalise;if oof suddenly;../fake-data/blob/hipster.png;image/png
4;normal;properly reliable;sculptural whenever;../fake-data/blob/hipster.png;image/png
5;spice;norm;wretched helpless including;../fake-data/blob/hipster.png;image/png
6;dryer curve;aha around beneficial;bitten dead southeast;../fake-data/blob/hipster.png;image/png
7;instead;meh alongside;official woot;../fake-data/blob/hipster.png;image/png
8;advance boohoo;snarling;trigger ruddy almost;../fake-data/blob/hipster.png;image/png
9;standardisation boastfully;yahoo attacker experiment;because;../fake-data/blob/hipster.png;image/png
10;including sadly;immaterial reshuffle;blue;../fake-data/blob/hipster.png;image/png
